fabric_id,image_name,defect_label,file_path
001,001-001.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-001.png
001,001-002.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-002.png
001,001-003.png,"256
256
16
16
1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-003.png
001,001-004.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-004.png
001,001-005.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-005.png
001,001-006.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-006.png
001,001-007.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-007.png
001,001-008.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-008.png
001,001-009.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-009.png
001,001-010.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-010.png
001,001-011.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-011.png
001,001-012.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-012.png
001,001-013.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-013.png
001,001-014.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-014.png
001,001-015.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-015.png
001,001-016.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-016.png
001,001-017.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-017.png
001,001-018.png,"256
256
16
16
2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-018.png
001,001-019.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-019.png
001,001-020.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-020.png
001,001-021.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-021.png
001,001-022.png,"256
256
16
16
0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0",data/raw/TFD Textile Dataset/001/001-022.png
